scenario_key,down_pct,fill_rate,appreciation,furnish,is_empty,days_in_year,owner_days,occupied_days,gross_rent,fixed_costs,variable_costs,total_operating_outflow,net_cash_flow_annual,operating_pnl_annual,sale_price,adjusted_basis,gain_realized,suspended_pal,net_proceeds_after_tax,avg_annual_economic_cost,rent_equivalent_val,economic_premium,incremental_benefit_cash
0.2_0.7_0.03_30000.0,0.2,0.7,0.03,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,242327.65383818143,195429.02024310292,1110.9222469623285,8334.0,-7223.077753037672,9150.90532544379
0.2_0.7_0.03_30000.0,0.2,0.7,0.03,30000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,436605.2222258289,296102.2727272727,109940.5839427482,242327.65383818143,195429.02024310292,1110.9222469623285,12501.0,-11390.07775303767,9150.90532544379
0.2_0.7_0.05_8000.0,0.2,0.7,0.05,8000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,220327.65383818143,236518.09853905503,-5858.946081030831,8334.0,-14192.94608103083,9150.90532544379
0.2_0.7_0.05_8000.0,0.2,0.7,0.05,8000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,220327.65383818143,236518.09853905503,-5858.946081030831,8334.0,-14192.94608103083,9150.90532544379
0.2_0.7_0.05_8000.0,0.2,0.7,0.05,8000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,220327.65383818143,236518.09853905503,-5858.946081030831,12501.0,-18359.94608103083,9150.90532544379
0.2_0.7_0.05_16000.0,0.2,0.7,0.05,16000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,228327.65383818143,238598.09853905503,-5756.088938173688,8334.0,-14090.088938173689,9150.90532544379
0.2_0.7_0.05_16000.0,0.2,0.7,0.05,16000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,228327.65383818143,238598.09853905503,-5756.088938173688,8334.0,-14090.088938173689,9150.90532544379
0.2_0.7_0.05_16000.0,0.2,0.7,0.05,16000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,228327.65383818143,238598.09853905503,-5756.088938173688,12501.0,-18257.08893817369,9150.90532544379
0.2_0.7_0.05_30000.0,0.2,0.7,0.05,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,242327.65383818143,242238.09853905503,-5576.088938173688,8334.0,-13910.088938173689,9150.90532544379
0.2_0.7_0.05_30000.0,0.2,0.7,0.05,30000.0,False,365,28,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,242327.65383818143,242238.09853905503,-5576.088938173688,8334.0,-13910.088938173689,9150.90532544379
0.2_0.7_0.05_30000.0,0.2,0.7,0.05,30000.0,False,365,42,189.0,17396.44970414201,32686.509035706535,8245.544378698225,40932.053414404756,-23535.603710262745,-20650.70379506488,499520.6500429689,296102.2727272727,168451.93181268836,242327.65383818143,242238.09853905503,-5576.088938173688,12501.0,-18077.08893817369,9150.90532544379
0.2_0.75_0.01_8000.0,0.2,0.75,0.01,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,215752.20117545963,147524.20945523947,6200.830550553984,8334.0,-2133.169449446016,9804.541420118341
0.2_0.75_0.01_8000.0,0.2,0.75,0.01,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,215752.20117545963,147524.20945523947,6200.830550553984,8334.0,-2133.169449446016,9804.541420118341
0.2_0.75_0.01_8000.0,0.2,0.75,0.01,8000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,215752.20117545963,147524.20945523947,6200.830550553984,12501.0,-6300.169449446016,9804.541420118341
0.2_0.75_0.01_16000.0,0.2,0.75,0.01,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,223752.20117545966,150004.20945523947,6246.54483626827,8334.0,-2087.45516373173,9804.541420118341
