key,weeks,appreciation,occupancy,furnish,rent_alternative,is_empty,net_cash_flow,avg_annual_econ_cost,econ_premium,net_sale_proceeds,gross_revenue,fixed_costs,variable_costs,tax_recapture,tax_ltcg,tax_saved_pal,sale_price
2_weeks_0.05_0.75_8000.0,2,0.05,0.75,8000.0,5000.0,False,-17612.216272548638,2826.5714205184986,-2173.4285794815014,222130.763964211,24108.55263157895,31686.509035706535,10034.259868421053,18943.18181818182,18535.840907992217,53914.23811499218,499520.6500429689
2_weeks_0.05_0.75_16000.0,2,0.05,0.75,16000.0,5000.0,False,-17612.216272548638,4072.2857062327844,-927.7142937672156,224210.763964211,24108.55263157895,31686.509035706535,10034.259868421053,20943.18181818182,16935.840907992217,56394.238114992186,499520.6500429689
2_weeks_0.05_0.75_30000.0,2,0.05,0.75,30000.0,5000.0,False,-17612.216272548638,6252.285706232784,1252.285706232784,227850.763964211,24108.55263157895,31686.509035706535,10034.259868421053,24443.18181818182,14135.840907992217,60734.238114992186,499520.6500429689
4_weeks_0.01_0.6_8000.0,4,0.01,0.6,8000.0,10000.0,False,-21588.94324623285,18081.298569270868,8081.298569270868,143184.7627387339,18513.157894736843,31686.509035706535,8415.592105263158,14465.803442714168,0.0,62543.73564788692,380608.04999798856
4_weeks_0.01_0.6_16000.0,4,0.01,0.6,16000.0,10000.0,False,-21588.94324623285,19269.869997842296,9269.869997842296,145664.7627387339,18513.157894736843,31686.509035706535,8415.592105263158,14465.803442714168,0.0,65023.735647886926,380608.04999798856
4_weeks_0.01_0.6_30000.0,4,0.01,0.6,30000.0,10000.0,False,-21588.94324623285,21349.869997842296,11349.869997842296,150004.7627387339,18513.157894736843,31686.509035706535,8415.592105263158,14465.803442714168,0.0,69363.73564788693,380608.04999798856
4_weeks_0.03_0.6_8000.0,4,0.03,0.6,8000.0,10000.0,False,-21588.94324623285,12257.524217496626,2257.524217496626,183951.1832011536,18513.157894736843,31686.509035706535,8415.592105263158,18943.18181818182,6833.571334004184,62543.73564788692,436605.2222258289
4_weeks_0.03_0.6_16000.0,4,0.03,0.6,16000.0,10000.0,False,-21588.94324623285,13503.238503210912,3503.2385032109123,186031.1832011536,18513.157894736843,31686.509035706535,8415.592105263158,20943.18181818182,5233.571334004184,65023.735647886926,436605.2222258289
4_weeks_0.03_0.6_30000.0,4,0.03,0.6,30000.0,10000.0,False,-21588.94324623285,15683.238503210912,5683.238503210912,189671.1832011536,18513.157894736843,31686.509035706535,8415.592105263158,24443.18181818182,2433.571334004184,69363.73564788693,436605.2222258289
4_weeks_0.05_0.6_8000.0,4,0.05,0.6,8000.0,10000.0,False,-21588.94324623285,5570.513032360609,-4429.486967639391,230760.2614971057,18513.157894736843,31686.509035706535,8415.592105263158,18943.18181818182,18535.840907992217,62543.73564788692,499520.6500429689
