blinded_facility_id,source_coverage,combined_spend,combined_units,tae_total_spend,tae_total_units,tae_months,tae_vendors,rb_total_spend,rb_total_units,rb_months,rb_ndcs
FAC_0101,BOTH,93516.82,3411.0,92583.83,3398.0,24.0,3.0,932.99,13.0,11.0,5.0
FAC_0102,BOTH,93112.706,3803.0,91125.186,3782.0,22.0,2.0,1987.52,21.0,11.0,3.0
FAC_0103,BOTH,92785.14,3024.0,92468.64,3018.0,24.0,6.0,316.5,6.0,7.0,5.0
FAC_0104,BOTH,92159.91,2094.0,90670.38,2076.0,24.0,4.0,1489.53,18.0,5.0,2.0
FAC_0105,BOTH,91696.80900000001,28023.0,89422.13,27985.0,23.0,3.0,2274.679,38.0,12.0,8.0
FAC_0106,TAE_ONLY,91563.59,1624.0,91563.59,1624.0,23.0,4.0,0.0,0.0,,
FAC_0107,TAE_ONLY,91016.44,1991.0,91016.44,1991.0,22.0,2.0,0.0,0.0,,
FAC_0108,BOTH,90557.65,2618.0,62869.2,2346.0,24.0,5.0,27688.45,272.0,12.0,25.0
FAC_0109,BOTH,90535.28,3752.0,89253.55,3730.0,24.0,3.0,1281.73,22.0,7.0,2.0
FAC_0110,TAE_ONLY,88047.82,41143.841,88047.82,41143.841,1.0,1.0,0.0,0.0,,
FAC_0111,BOTH,87511.93,2789.0,78029.09999999999,2586.0,24.0,4.0,9482.83,203.0,13.0,7.0
FAC_0112,BOTH,86549.93,3107.0,85920.64,3102.0,24.0,2.0,629.29,5.0,3.0,3.0
FAC_0113,BOTH,85444.325,18398.0,85334.785,18396.0,11.0,3.0,109.54,2.0,1.0,1.0
FAC_0114,BOTH,85362.56000000001,26702.0,85151.99,26697.0,8.0,3.0,210.57,5.0,4.0,5.0
FAC_0115,BOTH,84996.98,5216.0,84860.28,5212.0,24.0,3.0,136.7,4.0,1.0,1.0
FAC_0116,BOTH,84626.4,4367.0,84168.73999999999,4361.0,24.0,1.0,457.66,6.0,6.0,3.0
FAC_0117,TAE_ONLY,83406.24,36808.0,83406.24,36808.0,24.0,1.0,0.0,0.0,,
FAC_0118,BOTH,83256.09,2349.0,77732.19,2320.0,23.0,4.0,5523.9,29.0,9.0,8.0
FAC_0119,BOTH,82639.28,2186.0,77863.6,2133.0,6.0,1.0,4775.68,53.0,5.0,10.0
FAC_0120,TAE_ONLY,82066.61,12351.0,82066.61,12351.0,22.0,6.0,0.0,0.0,,
FAC_0121,BOTH,81876.72,2507.0,77526.92,2430.0,14.0,1.0,4349.8,77.0,11.0,9.0
FAC_0122,TAE_ONLY,81138.19,8695.0,81138.19,8695.0,24.0,1.0,0.0,0.0,,
FAC_0123,TAE_ONLY,79962.17,2839.0,79962.17,2839.0,24.0,2.0,0.0,0.0,,
FAC_0124,TAE_ONLY,78130.1,2044.0,78130.1,2044.0,6.0,1.0,0.0,0.0,,
FAC_0125,TAE_ONLY,76617.35,1923.0,76617.35,1923.0,18.0,5.0,0.0,0.0,,
FAC_0126,TAE_ONLY,75909.12,3400.0,75909.12,3400.0,24.0,1.0,0.0,0.0,,
FAC_0127,BOTH,75185.83,1469.0,59034.53,1413.0,24.0,4.0,16151.3,56.0,14.0,6.0
FAC_0128,BOTH,73375.48,29212.0,71341.01,29192.0,24.0,2.0,2034.47,20.0,14.0,5.0
FAC_0129,TAE_ONLY,72999.06,2154.0,72999.06,2154.0,24.0,1.0,0.0,0.0,,
FAC_0130,BOTH,72248.735,3370.0,70917.085,3350.0,15.0,3.0,1331.65,20.0,10.0,14.0
FAC_0131,BOTH,72117.65999999999,2539.0,69401.23,2500.0,24.0,2.0,2716.43,39.0,9.0,10.0
FAC_0132,BOTH,71925.132,1409.0,68269.482,1378.0,23.0,2.0,3655.65,31.0,11.0,10.0
FAC_0133,TAE_ONLY,71641.31999999999,1877.0,71641.31999999999,1877.0,24.0,3.0,0.0,0.0,,
FAC_0134,BOTH,71063.785,3352.0,70917.085,3350.0,15.0,3.0,146.7,2.0,2.0,2.0
FAC_0135,BOTH,69549.16,10115.0,69091.84,10114.0,24.0,1.0,457.32,1.0,2.0,1.0
FAC_0136,BOTH,69363.576,1649.0,60037.076,1597.0,22.0,1.0,9326.5,52.0,16.0,24.0
FAC_0137,BOTH,68683.28,1618.0,68428.92,1613.0,17.0,3.0,254.36,5.0,3.0,2.0
FAC_0138,RB_ONLY,68600.14,498.0,0.0,0.0,,,68600.14,498.0,24.0,20.0
FAC_0139,BOTH,68539.38,1074.0,68407.25,1070.0,24.0,5.0,132.13,4.0,5.0,2.0
FAC_0140,BOTH,68109.91,1579.0,45695.5,1391.0,22.0,2.0,22414.41,188.0,24.0,9.0
FAC_0141,TAE_ONLY,67902.88,2294.0,67902.88,2294.0,24.0,2.0,0.0,0.0,,
FAC_0142,TAE_ONLY,67218.4,2086.0,67218.4,2086.0,24.0,3.0,0.0,0.0,,
FAC_0143,BOTH,67185.22,2313.0,66017.08,2287.0,12.0,2.0,1168.14,26.0,16.0,6.0
FAC_0144,BOTH,66916.09,1801.0,63446.7,1731.0,19.0,2.0,3469.3900000000003,70.0,15.0,6.0
FAC_0145,TAE_ONLY,66767.08,22007.0,66767.08,22007.0,24.0,4.0,0.0,0.0,,
FAC_0146,BOTH,66433.31,1898.0,64640.6,1876.0,12.0,3.0,1792.7099999999998,22.0,3.0,4.0
FAC_0147,BOTH,66342.48,1832.0,63102.92,1741.0,24.0,4.0,3239.56,91.0,12.0,17.0
FAC_0148,BOTH,66086.4,11661.0,61190.5,11585.0,12.0,2.0,4895.9,76.0,11.0,7.0
FAC_0149,BOTH,65348.0,1639.0,49138.45,1587.0,11.0,1.0,16209.55,52.0,11.0,4.0
FAC_0150,TAE_ONLY,60946.22,17234.0,60946.22,17234.0,12.0,1.0,0.0,0.0,,
FAC_0151,TAE_ONLY,60583.907999999996,23843.0,60583.907999999996,23843.0,23.0,3.0,0.0,0.0,3.0,3.0
FAC_0152,BOTH,59633.55,19205.0,57915.29,19182.0,24.0,1.0,1718.26,23.0,18.0,7.0
FAC_0153,BOTH,59550.020000000004,1191.0,58869.87,1178.0,21.0,4.0,680.15,13.0,6.0,2.0
FAC_0154,TAE_ONLY,57862.38,2538.0,57862.38,2538.0,24.0,7.0,0.0,0.0,,
FAC_0155,BOTH,57384.97,1624.0,56813.41,1612.0,24.0,4.0,571.5600000000001,12.0,8.0,11.0
FAC_0156,BOTH,57382.7,1980.0,56572.53,1963.0,24.0,4.0,810.17,17.0,8.0,14.0
FAC_0157,TAE_ONLY,57193.68,8105.0,57193.68,8105.0,24.0,1.0,0.0,0.0,,
FAC_0158,BOTH,56305.58,11799.0,55858.86,11791.0,24.0,1.0,446.71999999999997,8.0,3.0,3.0
FAC_0159,BOTH,56194.76,2489.0,56170.97,2488.0,11.0,2.0,23.79,1.0,1.0,1.0
FAC_0160,BOTH,55452.55,1390.0,55197.04,1385.0,19.0,4.0,255.51000000000002,5.0,2.0,5.0
FAC_0161,TAE_ONLY,55095.2,1310.0,55095.2,1310.0,12.0,2.0,0.0,0.0,,
FAC_0162,BOTH,54626.92,1180.0,33955.11,801.0,21.0,1.0,20671.809999999998,379.0,10.0,13.0
FAC_0163,TAE_ONLY,54422.38,1824.0,54422.38,1824.0,24.0,1.0,0.0,0.0,,
FAC_0164,BOTH,53628.55,1479.0,50692.9,1447.0,24.0,3.0,2935.65,32.0,15.0,19.0
FAC_0165,TAE_ONLY,53557.76,1559.0,53557.76,1559.0,6.0,2.0,0.0,0.0,,
FAC_0166,TAE_ONLY,53066.44,13079.0,53066.44,13079.0,24.0,1.0,0.0,0.0,,
FAC_0167,BOTH,52763.47,12113.0,52566.67,12110.0,24.0,1.0,196.8,3.0,4.0,2.0
FAC_0168,BOTH,52553.090000000004,1670.0,52403.96000000001,1667.0,23.0,2.0,149.13,3.0,3.0,2.0
FAC_0169,BOTH,51867.68,1557.0,46091.4,1470.0,21.0,5.0,5776.28,87.0,22.0,2.0
FAC_0170,BOTH,51453.81,2211.0,51042.61,2206.0,24.0,2.0,411.2,5.0,5.0,3.0
FAC_0171,BOTH,51241.83,1180.0,50169.6,1169.0,24.0,1.0,1072.23,11.0,7.0,5.0
FAC_0172,TAE_ONLY,51239.3,4408.0,51239.3,4408.0,17.0,5.0,0.0,0.0,,
FAC_0173,TAE_ONLY,50966.28,1362.0,50966.28,1362.0,24.0,4.0,0.0,0.0,,
FAC_0174,TAE_ONLY,50927.93,13088.0,50927.93,13088.0,23.0,3.0,0.0,0.0,5.0,3.0
FAC_0175,TAE_ONLY,50334.56,17080.0,50334.56,17080.0,24.0,3.0,0.0,0.0,1.0,10.0
FAC_0176,BOTH,50220.912,1471.0,46380.382,1429.0,24.0,2.0,3840.5299999999997,42.0,7.0,5.0
FAC_0177,BOTH,49897.64,9641.0,49052.49,9627.0,24.0,2.0,845.1500000000001,14.0,12.0,13.0
FAC_0178,TAE_ONLY,49599.07,18876.0,49599.07,18876.0,24.0,1.0,0.0,0.0,,
FAC_0179,BOTH,48969.4,1635.0,48083.75,1622.0,24.0,2.0,885.65,13.0,5.0,2.0
FAC_0180,BOTH,48858.74,1678.0,47552.64,1660.0,24.0,2.0,1306.1,18.0,14.0,3.0
FAC_0181,TAE_ONLY,48639.270000000004,5036.0,48639.270000000004,5036.0,6.0,1.0,0.0,0.0,,
FAC_0182,BOTH,48086.12,17816.0,47700.920000000006,17809.0,24.0,2.0,385.2,7.0,3.0,2.0
FAC_0183,TAE_ONLY,48068.340000000004,2109.0,48068.340000000004,2109.0,18.0,3.0,0.0,0.0,,
FAC_0184,BOTH,47503.67,1393.0,45882.71,1353.0,24.0,5.0,1620.96,40.0,17.0,4.0
FAC_0185,BOTH,46238.24,1488.0,45045.13,1454.0,24.0,4.0,1193.11,34.0,8.0,9.0
FAC_0186,TAE_ONLY,46200.5,21335.0,46200.5,21335.0,20.0,1.0,0.0,0.0,,
FAC_0187,BOTH,45871.314,1399.0,45521.754,1390.0,23.0,1.0,349.56,9.0,5.0,3.0
