facility_id,month_year_fmt,ndc,rb_spend,rb_units
TX0021,2024-01,63323086910,34.05,1.0
AV6444,2024-01,63323086710,28.38,1.0
NE2027,2024-01,63323053075,70.69,1.0
MN2049,2024-01,65219047030,93.33,1.0
WI2017,2024-01,63323068610,100.47,3.0
PA2586,2024-01,65219038910,4112.81,32.0
729568,2024-01,63323082476,64.8,1.0
TX0077,2024-01,65219047220,92.08,2.0
825505,2024-01,63323053075,92.4,2.0
AR0067,2024-01,65219014210,258.29999999999995,3.0
657482,2024-01,65219047220,160.0,2.0
AM0992,2024-01,65219047030,70.01,1.0
AI4173,2024-01,63323068310,43.21,1.0
658412,2024-01,63323068610,67.52,2.0
AA4498,2024-01,65219001201,496.35,3.0
630984,2024-01,63323082476,64.79,1.0
603139,2024-01,65219047030,835.6800000000001,12.0
616791,2024-01,63323068810,51.68,1.0
PA2196,2024-01,65219047220,380.07,9.0
KY0215,2024-01,63323017876,34.32,1.0
848402,2024-01,65219047910,49.84,1.0
SD2031,2024-01,63323082475,66.51,1.0
AR2049,2024-01,65219047220,44.66,1.0
762854,2024-01,65219038905,302.53,1.0
TX0174,2024-01,63323068810,199.4,5.0
AR0067,2024-01,63323068610,260.76,6.0
VA0021,2024-01,63323082476,51.7,2.0
763225,2024-01,65219047410,95.92,4.0
AP0345,2024-01,65219025810,2244.55,5.0
682520,2024-01,63323087074,24.93,1.0
IN2004,2024-01,63323017876,37.37,1.0
610332,2024-01,63323062625,60.89,1.0
711622,2024-01,63323082474,283.8,2.0
630289,2024-01,63323053075,38.41,1.0
CA2305,2024-01,63323053075,160.0,2.0
612412,2024-01,63323053075,70.69,1.0
PA2196,2024-01,65219047030,0.0,0.0
650693,2024-01,65219023825,194.14,2.0
AI1136,2024-01,63323053075,-45.36,-1.0
FL0045,2024-01,65219047030,183.0,3.0
AI8199,2024-01,65219047410,41.95,1.0
SC0037,2024-01,63323068610,33.25,1.0
NC0104,2024-01,63323068310,67.14,2.0
