report_category,manufacturer_normalized,year_quarter,quarter_start,total_observed_spend,share_of_observed_spend,yoy_growth
Monitoring,PHILIPS,2024-Q1,2024-01-01,19329679.812000003,0.5601101841970151,
Monitoring,GE,2024-Q1,2024-01-01,3151203.2719999994,0.09131144759192643,
Monitoring,OTHER,2024-Q2,2024-04-01,3605003.4329999997,0.0819444093262977,
Monitoring,PHILIPS,2024-Q2,2024-04-01,24151679.052000005,0.5489856281516774,
Monitoring,SPACELABS,2024-Q2,2024-04-01,4063237.71,0.09236041526351815,
Monitoring,GE,2024-Q2,2024-04-01,7098719.106,0.16135916509527334,
Monitoring,NIHON KOHDEN,2024-Q2,2024-04-01,5074641.786000001,0.11535038216323346,
Monitoring,SPACELABS,2024-Q3,2024-07-01,1346931.6700000004,0.03723386138070152,
Monitoring,OTHER,2024-Q3,2024-07-01,4897080.976000001,0.13537229711916604,
Monitoring,SIEMENS,2024-Q3,2024-07-01,19506.6,0.0005392300564205993,
Monitoring,PHILIPS,2024-Q3,2024-07-01,12483958.787999995,0.3450999047299721,
Monitoring,NIHON KOHDEN,2024-Q3,2024-07-01,4361271.319999999,0.12056066049178951,
Monitoring,GE,2024-Q3,2024-07-01,13066162.945,0.3611940462219502,
Monitoring,SIEMENS,2024-Q4,2024-10-01,7459.6,0.0001699058352781745,
Monitoring,NIHON KOHDEN,2024-Q4,2024-10-01,1929590.1399999997,0.04394989335637696,0.7204847404216165
Monitoring,GE,2024-Q4,2024-10-01,5045418.957,0.11491851067314882,-0.5191365100821718
Monitoring,SPACELABS,2024-Q4,2024-10-01,3890267.010000001,0.08860784301962257,1.197028696883643
Monitoring,PHILIPS,2024-Q4,2024-10-01,28871621.645,0.6576032215439362,-0.00938485224570728
Monitoring,OTHER,2024-Q4,2024-10-01,4159961.694999999,0.09475062557163726,-0.11017352599969625
Monitoring,OTHER,2025-Q1,2025-01-01,4609217.489999999,0.10663539168949361,0.05709536442309934
Monitoring,NIHON KOHDEN,2025-Q1,2025-01-01,7772811.139999998,0.1798259167072542,0.688150675676084
Monitoring,GE,2025-Q1,2025-01-01,12926663.384000001,0.29906156873302053,3.1021356822201227
Monitoring,SPACELABS,2025-Q1,2025-01-01,2007584.5299999998,0.046445966841611966,-0.34499917091642635
Monitoring,SIEMENS,2025-Q1,2025-01-01,11760.0,0.00027207052151241514,
Monitoring,PHILIPS,2025-Q1,2025-01-01,15896050.853000002,0.3677590855071073,-0.1776350665088813
Monitoring,SPACELABS,2025-Q2,2025-04-01,1941140.6000000006,0.04116467005122207,-0.5222675268979031
Monitoring,PHILIPS,2025-Q2,2025-04-01,14110042.008999994,0.2992236748380654,-0.4157738690291374
Monitoring,NIHON KOHDEN,2025-Q2,2025-04-01,17345307.75999999,0.3678321245134439,2.418035891292364
Monitoring,GE,2025-Q2,2025-04-01,8137406.509999999,0.1725653742221539,0.14632039787601636
Monitoring,OTHER,2025-Q2,2025-04-01,5621603.155,0.11921415637511469,0.5593891266621717
Monitoring,SIEMENS,2025-Q3,2025-07-01,7232.0,0.00013919432382041372,-0.3616495427744236
Monitoring,SPACELABS,2025-Q3,2025-07-01,2316245.29,0.0445807794446582,0.7196457263492805
Monitoring,OTHER,2025-Q3,2025-07-01,7626678.863999998,0.14679070899750013,0.5573928430788515
Monitoring,PHILIPS,2025-Q3,2025-07-01,16202091.407999998,0.3118416977341115,0.29783281754934965
Monitoring,NIHON KOHDEN,2025-Q3,2025-07-01,4952649.279999999,0.09532365426566079,0.13559760826804054
Monitoring,GE,2025-Q3,2025-07-01,20851244.77,0.4013239652342489,0.5958200473827016
